track_id,track_name,artist_name,danceability,energy,tempo,valence
7l9CE3wmEGOUYw1j4ETjnL,Saturnz Barz (feat. Popcaan),"Gorillaz, Popcaan",0.383,0.621,80.051,0.213
6zzdyvVWjGrQBraSvuqJPY,Starry Eyes,The Weeknd,0.309,0.418,134.23,0.146
3O7p9Itz8PXUoAjD2vmuM6,Beautiful People Beautiful Problems (feat. Stevie Nicks),"Lana Del Rey, Stevie Nicks",0.509,0.43,122.919,0.128
1i4F583d9v9RabcfOlKKVL,Love In Slow Motion,Ed Sheeran,0.485,0.54,62.631,0.426
2dHoVW9AxJVSRebPRyV2aA,Gone,ROSÉ,0.647,0.377,79.936,0.653
7vu0JkJh0ldukEYbTVcqd0,Issues,Julia Michaels,0.728,0.415,114.145,0.455
2mb6YdoavL6db22p7XKJQZ,Burning,Sam Smith,0.631,0.224,86.936,0.365
0STK94RxUulYqWzwFlyAb5,Sober,Demi Lovato,0.397,0.303,170.22,0.17
1Ov37jtRQ2YNAe8HzfczkL,Wildest Dreams (Taylor's Version),Taylor Swift,0.583,0.67,140.061,0.498
3l6LBCOL9nPsSY29TUY2VE,Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, SUGA",0.431,0.736,83.627,0.139
6WkJ2OK163XXS2oARUC9JM,Dancin (feat. Luvli) - Krono Remix,"Aaron Smith, Krono, Luvli",0.72,0.741,119.896,0.357
4MAsYGSgxsaj73dC2lvFC4,WORKIN ME,Quavo,0.792,0.657,169.969,0.228
6rjuKpPydT2SxN15TZpV7r,500lbs,Lil Tecca,0.722,0.785,122.986,0.529
1pqnQ41XbfKjaFu6M0eGJp,Agua (with J Balvin),"Tainy, J Balvin",0.76,0.658,100.202,0.565
3p7XQpdt8Dr6oMXSvRZ9bg,Eyes Closed,Ed Sheeran,0.793,0.52,107.014,0.309
0jWm0VyD8p3MrSInczpows,BLAME IT ON BABY,DaBaby,0.875,0.687,109.791,0.864
4TZy1wLyHec06pwgFYDh1a,Mercy,Shawn Mendes,0.469,0.68,147.734,0.374
1bDbXMyjaUIooNwFE9wn0N,Rich Flex,"Drake, 21 Savage",0.561,0.52,153.15,0.424
6yf3MxEOScNBTYCHOAIiNQ,Instruction (feat. Demi Lovato & Stefflon Don),"Jax Jones, Demi Lovato, Stefflon Don",0.767,0.929,121.087,0.923
1lRtH4FszTrwwlK5gTSbXO,AMG,"Natanael Cano, Peso Pluma, Gabito Ballesteros",0.772,0.73,136.175,0.786
6wmAHw1szh5RCKSRjiXhPe,How Long,Charlie Puth,0.845,0.561,109.974,0.811
7s25THrKz86DM225dOYwnr,Respect,Aretha Franklin,0.805,0.558,114.95,0.965
1hSOt9IeshMkuKP9ri4hOf,Bloom,Troye Sivan,0.708,0.701,120.932,0.504
3Y7a0typ6ik1KscmebXd6D,"No New Friends (feat. Sia, Diplo, and Labrinth)","Sia, Diplo, Labrinth, LSD",0.724,0.702,106.044,0.688
3tcnWNjEXyXCbFR9zonrX2,Topanga,Trippie Redd,0.755,0.615,105.955,0.039
3pI3nzi2Y0Iyj1nATDOeQV,Mourning,Post Malone,0.549,0.636,74.142,0.266
36YCdzT57us0LhDmCYtrNE,Rockin’,The Weeknd,0.738,0.885,112.878,0.752
